# y+ ()                 
# Time                  	patch                   	min                     	max                     	average                 
1873.5                  	circle	1.7806219641514851e+01	6.6490881157615505e+01	4.4737472443228540e+01
1874                    	Top	1.2395471887554250e+02	1.5975784019369698e+02	1.3793275727954477e+02
1874                    	Bottom	1.2240991666611171e+02	1.5811412494321416e+02	1.3914753215461991e+02
1874                    	circle	1.7332988531671059e+01	6.6498403927527249e+01	4.4765560917453783e+01
1874.5                  	Top	1.2395137233787750e+02	1.5975985736257226e+02	1.3793138511932315e+02
1874.5                  	Bottom	1.2241244969897750e+02	1.5811203244084982e+02	1.3914936899254550e+02
1874.5                  	circle	1.6158625124709801e+01	6.6470261788211914e+01	4.4732039805375031e+01
1875                    	Top	1.2394844759909370e+02	1.5976434557391437e+02	1.3793319923004466e+02
1875                    	Bottom	1.2241325049022147e+02	1.5811124967662130e+02	1.3914802084978146e+02
1875                    	circle	1.4726810077343103e+01	6.6419584470396003e+01	4.4648231628589635e+01
1875.5                  	Top	1.2394714018765920e+02	1.5976940196399431e+02	1.3793727611582372e+02
1875.5                  	Bottom	1.2241216259846287e+02	1.5811240011963142e+02	1.3914418558294048e+02
1875.5                  	circle	1.3713233373757520e+01	6.6370175612821342e+01	4.4554124159331153e+01
1876                    	Top	1.2394797505812207e+02	1.5977272455576761e+02	1.3794165128571962e+02
1876                    	Bottom	1.2240987904121461e+02	1.5811507063240862e+02	1.3913968145170352e+02
1876                    	circle	1.3663070796698204e+01	6.6345062943100771e+01	4.4497025561594114e+01
1876.5                  	Top	1.2395084668565308e+02	1.5977246772721438e+02	1.3794458300990468e+02
1876.5                  	Bottom	1.2240685575020133e+02	1.5811749815925990e+02	1.3913639509660987e+02
1876.5                  	circle	1.4653116244105526e+01	6.6355441386730675e+01	4.4502369443474983e+01
1877                    	Top	1.2395421474675868e+02	1.5976923755651015e+02	1.3794453390144008e+02
1877                    	Bottom	1.2240500354425689e+02	1.5811904905590234e+02	1.3913605175648169e+02
1877                    	circle	1.6138583544722387e+01	6.6396050230140517e+01	4.4565386918136689e+01
1877.5                  	Top	1.2395654083899429e+02	1.5976426702994021e+02	1.3794155766108278e+02
